,屋名,地址,1)永慶房屋物件編號,2)售價,3)建物面積,4)屋齡,5)房(室),站名,6)物件與最近捷運站(已正式營運)的距離
0,天母新光一樓住店,台北市士林區天母東路,YC1171638,"4,638 萬",建物 44.21坪,47.8年            ,5房(室)3廳2衛            ,規劃中或未通車,NONE
0,一層一戶樹景四房,台北市士林區中山北路七段,YC1165219,"1,780 萬",建物 22.01坪,48.2年            ,4房(室)2廳2衛            ,沒有捷運站,NONE
0,劍潭捷運靜巷美宅,台北市士林區前港街,YC1167693,"2,050 萬",建物 28.33坪,41.5年            ,4房(室)3廳2衛            ,捷運劍潭站出口2, 417 
0,蘭雅公園靜巷美寓,台北市士林區忠誠路二段,YC1107879,"1,880 萬",建物 37.53坪,45.4年            ,3房(室)2廳2衛            ,規劃中或未通車,NONE
0,住三之二邊間頂加,台北市士林區忠誠路二段,YC1166326,"2,850 萬",建物 39.85坪,41.2年            ,3房(室)3廳3衛            ,規劃中或未通車,NONE
0,雙溪國小稀有2樓,台北市士林區中社路二段,YC1176223,940 萬,建物 20.81坪,47.1年            ,3房(室)2廳1衛            ,沒有捷運站,NONE
0,五星士東市場美寓,台北市士林區士東路,YC1165239,"2,460 萬",建物 38.90坪,41.6年            ,3房(室)2廳2衛            ,規劃中或未通車,NONE
0,百齡國小優質一樓,台北市士林區通河東街一段,YC1028740,"2,400 萬",建物 34.86坪,43.1年            ,3房(室)2廳2衛            ,規劃中或未通車,NONE
0,明星學區邊間二房,台北市士林區天母西路,YC1134197,"1,700 萬",建物 21.29坪,44.3年            ,2房(室)2廳1衛            ,規劃中或未通車,NONE
0,天母國小採光美寓,台北市士林區天母北路,YC1138560,"2,980 萬",建物 44.30坪,44.7年            ,4房(室)2廳2衛            ,沒有捷運站,NONE
0,延五四樓,台北市士林區延平北路五段,YC1096977,"1,180 萬",建物 15.35坪,51.4年            ,3房(室)3廳2衛            ,規劃中或未通車,NONE
0,士林稀有潛力一樓,台北市士林區承德路四段,YC1182769,"1,450 萬",建物 14.66坪,53.5年            ,3房(室)1廳1衛            ,捷運士林站出口2, 789 
0,靜巷方正面寬鼎家,台北市士林區葫蘆街,YC1118692,"1,650 萬",建物 32.08坪,49.3年            ,5房(室)3廳2衛            ,規劃中或未通車,NONE
0,陽光明媚社子島,台北市士林區延平北路八段,YC1172520,"1,088 萬",建物 17.93坪,54.4年            ,2房(室)2廳1衛            ,規劃中或未通車,NONE
0,福港街美妝二樓,台北市士林區福港街,YC1166881,"1,588 萬",建物 34.79坪,44.7年            ,3房(室)2廳2衛            ,規劃中或未通車,NONE
0,至善庭院一樓,台北市士林區至善路二段,YC1051530,"4,980 萬",建物 33.69坪,36.6年            ,4房(室)3廳2衛            ,沒有捷運站,NONE
0,福港稀有大空間,台北市士林區福港街,YC1184879,"2,200 萬",建物 36.18坪,37.7年            ,8房(室)3廳3衛            ,捷運劍潭站出口2, 695 
0,天母商圈三房美寓,台北市士林區天母西路,YC1145036,"2,280 萬",建物 43.73坪,42.3年            ,3房(室)2廳2衛            ,規劃中或未通車,NONE
